Codigo,Descripcion,Unidad,Valor Unitario
005006,VAL RETENC ASTM A-126 6EB,UND,1555513.0
005007,VAL RETENC ASTM A-126 8 EB,UND,2329233.0
005008,"""VAL DOBL/CMP/SELL/BR D=2""",UND,426880.0
005009,"""VAL FLOT/CMP/BOLA CU D=3""",UND,331719.0
005010,"""VAL CHEQUE CORT/HF 2""""""",UND,161472.0
000786,ANTRACITA COATL AWWA STAND,M3,296960.0
005797,ELEMENTOFILTRO PERCOLA-POL,UND,815.0
003282,GASOLINA CORRIENTE,GLN,8890.0
003830,ACEITE MOTOR 4 TIEMPOS,GLN,86625.0
MQ0125,VIBROCOMPACTADOR TIPO RANA,DIA,29155.0
002005,DERECHOS INTERCO.ACUAVALLE,UND,110000.0
005874,HIPOCLORITO DE SODIO,KLS,1750.0
005879,UNION REP 3,UND,39348.0
MQ0149,BOMBA HIDROJET,DIA,50000.0
MQ0226,CARRO VACTOR CON SONDA,HRS,60000.0
005028,ADAP.H PRS PVC .1/2,UND,2300.0
005029,ADAP.M PRS PVC .1/2,UND,2500.0
5151,COLLAR DERIVACION 2X 1-,UND,13010.0
5150,COLLAR DERIVACION 3X1-2,UND,19285.0
5149,COLLAR DERIVACION 4X1-2,UND,21900.0
5144,COLLAR DERIVACION 6X 1-,UND,27837.0
005118,"""REGIST/CORTE BRONCE D=1/2",UND,14917.0
005117,"""REGIST/INCORP/BRONCE 1/2""",UND,12858.0
000052,ADAP.H PRS PVC .1/2,UND,400.0
005145,"""MANGUERA PF+UAD 1/2""""""",ML,1165.0
005147,"""LLAVE PASO .1/2"""" BRONCE",UND,18000.0
005146,"""REGIST.DE CORTE BRONC.1/2",UND,25752.0
005148,CODO PRS.1/2x90,UND,2480.0
005149,COLLAR DERIVACION 4 X1-2,UND,21900.0
005150,COLLAR DERIVACION 3 X1-2,UND,19285.0
005151,COLLAR DERIVACION 2 X 1-,UND,13010.0
000869,CODO PRS.3/4x90,UND,800.0
003743,"""VALVULA C.ELASTICO .3/4""",UND,30700.0
005890,ADAP.H PRS PVC .3/4,UND,700.0
005891,ADAP.H PRS PVC .3/4,UND,1900.0
005892,"""REGIST CORTE BRONCE D=3/4",UND,59999.0
005893,"""MANGUERA PF+UAD 3/4""""""",ML,2161.0
005895,"""LLAVE DE INCORPO. 3/4""""""",UND,48300.0
000073,ADAP.M PRS PVC 2,UND,5500.0
000919,MOTOBOMBA 2.0HP 100-GPM,UND,595000.0
001587,LIMPIADOR PVC 300GRMS,UND,24900.0
002501,"SOLDADURA PVC ,1/ 8 GLN",UND,35500.0
004608,CINTA TEFLON 3-4 10 MTS,UND,7900.0
000060,ADAP.H PRS PVC 4,UND,37700.0
001021,MOTOBOMBA 12.0HP 220/440V,UND,3712000.0
005072,"""PERNO ,3/8 x 3"""" EXPANSI",UND,3598.0
MOAG11,MANO OBRA ALBANILERIA 1 AYUDANTE-1 OFI,HC,23896.0
000121,BOMBA Q=400 H=150PSI+JOCKE,UND,13920000.0
005785,"""TUBO DRE 2"""" PERFO FILT",ML,78416.0
005781,"""VALVULA CHEQUE FLANCHADA3",UND,504600.0
005780,VALVULA CHEQUE FLANCHADA,UND,597400.0
004553,CABLE UTP CATEGORIA 5 4P,ML,1885.0
004024,CABLE CU ENCAUCH 2x18,ML,1334.0
004559,CABLE TELEFONICO 2 PARES,ML,558.0
004560,CABLE TELEFONICO 4 PARES,ML,814.0
004564,CABLE TV COAXIAL,ML,814.0
005979,CABLE 2X22 DUPLEX THWN,ML,568.0
1277,CABLE UTP CAT 6A,ML,2300.0
MOTE01,MANO OBRA TELECOMUNIC. 1 AYUD-1 TECNICO,HC,25263.0
002511,"SOLDADURA PVC ,1/ 4 GLN",UND,85900.0
004051,"""TERMINAL PVC ,1/2""""""",UND,493.0
004058,"""CURVA PVC ,1/2""""""",UND,1163.0
004066,LIMPIADOR PVC 760-G 1/4 GL,UND,43200.0
004068,"""TUBO PVC,1/2"""" X 3 MTS",UND,6565.0
004211,TOMA TEL.REF DOBLE COLOMBI,UND,7296.0
004203,STRIP 40-80 PARES,UND,75057.0
005298,CONCENTRADOR 24 PUERTOS,UND,1160000.0
MOIE02,MANO OBRA ELECTRICAS2 AYUDANTE-1 OFI,HC,45540.0
005297,CONCENTRADOR 16 PUERTOS,UND,696000.0
005294,"""ORGANIZADOR CABLES 19""""""",UND,40600.0
005293,PATCH CORD 5 PIES CAT 5E,UND,8460.0
005292,PATCH CORD 10 PIES CAT 5E,UND,11464.0
005291,PATCH PANEL 48 PUNTOS 5E,UND,692961.0
005287,TOMA DOBLE RJ45-5E,UND,38000.0
005751,PATCH PANEL 24 PUNTOS 5E,UND,480800.0
005754,"""RACK METALICO CERRADO 15""",UND,300000.0
005753,PATCH CORD 3 PIES CAT 5E,UND,7183.0
005756,CANALETA DIVISION 6X4X240,UND,22900.0
2229,"""CHAZO PLASTICO .5/16""""""",UND,518.0
005762,CANALETA METALICA 10X4X240,UND,51314.0
005295,"""MUEBLE RACK 19""""X43"""" CER",UND,590440.0
005775,GABINETE LUJO CABINADO,UND,590440.0
005911,CANALETA PLASTICA 10X4.5X2,UND,49090.0
6141,CANALETA PVC SEPARADOR 100,UND,7640.0
6142,CANALETA RETENEDOR 100X45,UND,360.0
005912,CODO 10X4.5 CM TA23/3P1,UND,18757.0
005913,DERIVACION EN T 10X4.5 CM,UND,20348.0
005914,CANALETA DE PISO 3 CEP 13C,UND,8760.0
005915,DUCTO PORTACABLE 20X7.5Y10,UND,46168.0
005916,CODO METALICO 20X7.5CM,UND,62060.0
005917,"""CORAZA PLASTICA 1 1/2"""" U",UND,20845.0
1283,FACEPLATE RJ45 2 PUERTOS,UND,21500.0
4076,CAJA 2x 4PVC,UND,2296.0
2647,FACE PLATE RJA45-4 PUERTOS,UND,25000.0
2646,FACEPLATE RJA45 1 PUERTO,UND,19500.0
1319,TERMINAL JACK RJ45 CAT 6A,UND,28500.0
1331,TERMINAL JACK RJ45 6A HERR,UND,14900.0
1474,PATCH PANEL 24 P-CAT 6A RA,UND,145000.0
6054,PATH PANEL 48 PUERTOS C 6A,UND,1326000.0
MOTE02,MANO OBRA TELECOMUNIC. 2 AYUD-1 TECNICO,HC,32960.0
6060,PATH PANEL 24 PUERTOS C 6A,UND,680000.0
004088,"""GRAPA GALV-GRUESA 3/4""""""",UND,662.0
005935,"""ADAPTADOR EMT .3/4""""""",UND,1219.0
005936,"""UNION 3/4"""" EMT""",UND,3200.0
005937,"""CURVA EMT MET ,3/4""""""",UND,1775.0
005939,"""TUBO EMT 3/4""""X 3 MT""",UND,23900.0
4163,CAJA GALV. 4x4,UND,945.0
004714,ANTENA ESPINA DE PESCADO,UND,65000.0
005279,MASTIL ANTENA X2MTS,UND,60000.0
005280,BASE MAMPOSTERIA,GL,13570.0
005278,TOMA TV USA-DERIVACION,UND,11890.0
005269,PARLANTE,UND,75000.0
005267,REJILLA CIRCULAR BLANCA,UND,2900.0
005300,PULSADOR TIMBRE AX040M,UND,4559.0
004076,CAJA 2x 4PVC,UND,2296.0
005539,CANALETA LISA 20x12MMx2MT,UND,3712.0
004257,"""BANDA SENCILLA 4""""""",UND,12500.0
005461,SIRENA 110 VOLTIOS,UND,25682.0
005462,FUSIBLE AEREO,UND,900.0
005776,FUSIBLE AEREO ALARMA,UND,2885.0
005976,PANEL DE CONTROL PANTALLA,UND,591600.0
MOIE03,MANO OBRA ING.ELECTR 3 AYUD-1 OFI-1 PROF,HC,105059.0
005977,DISCADOR TELEFONICO 8 NROS,UND,278400.0
005978,INTERRUPTOR CINTA FOTOLUMI,UND,6032.0
005233,UPS 2000VA/C.B/TRA.AIS,UND,4200000.0
005767,TABLERO MINIGRAMA 12 CTOS,UND,84345.0
005768,MINIBREAKER 1 A 4 AMPERIOS,UND,27388.0
005769,MINIBREAKER 5 A 32 AMPERIO,UND,17817.0
005770,TOMA TIERRA AISLADA NARANJ,UND,19900.0
004041,ALAMBRE COBRE THWN #12,ML,2118.0
004086,ALAMBRE GALVANIZADO # 18,KG,9900.0
004182,CINTA AISLANTE # 33,UND,14900.0
1332,CABLE 3X12 AWG-7H TRENZADO,ML,2900.0
2511,"SOLDADURA PVC ,1/ 4 GLN",UND,85900.0
4051,"""TERMINAL PVC ,1/2""""""",UND,493.0
4066,LIMPIADOR PVC 760-G 1/4 GL,UND,43200.0
4068,"""TUBO PVC,1/2"""" X 3 MTS",UND,6565.0
4248,TOMA NARANJA TIERRA AISLAD,UND,13882.0
753,CINTA AISLANTE 33 SUPER,ROL,12000.0
MOME01,MANO OBRA METALISTERIA 1 AYUDANTE-1 OFI,HC,28675.0
000111,ALAMBRE NEGRO# 18,KLS,5756.0
001761,"ANGULO 1,1/2x 3/16",UND,48684.0
003569,"""SOLDADURA 6011 x 1/8""""""",KLS,11996.0
004080,CABLE COBRE DESNUDO #4,ML,6180.0
004565,HIDROSOLTA X 15 KGS,UND,71247.0
004568,TAPA REGISTRO A TIERRA 20,UND,44277.0
004570,VARILLA COBRE,UND,182000.0
1346,CABLE 3X12 AWG-7H HLFRLS,ML,4950.0
5902,AMARRAS PLASTICAS 55 CMS,UND,1200.0
4212,TOMA DOBLE P-T AMBIA,UND,14036.0
6161,UPS 10 KVA,UND,12342000.0
6053,SWITCHE CISCO 48 PUERTOS-2,UND,10700000.0
MOTE04,MANO OBRA GARANTIA EQUIPO EN EL SITIO,GLB,428000.0
005766,SWITCHE 10/100/16 PUERTOS,UND,1.0
005765,SWITCHE 10/100/24 PUERTOS,UND,2066316.0
1475,SWITCHE 48 POE 10-100-1000,UND,7500000.0
004006,CABLE COBRE THW #2,ML,28951.0
004007,CABLE COBRE THW #1/0,ML,47301.0
005604,CONECTOR AMFRAU KZ3-95,UND,12800.0
004008,CABLE COBRE THW #2/0,ML,59120.0
004443,TRANSFORMADOR 1F 15 KVA,UND,3435000.0
004279,TRANSFORMADOR 1F 25 KVA,UND,4737071.0
004280,"TRANSFORMADOR 17 35,5 KVA",UND,5397921.0
004444,TRANSFORMADOR 1F 50 KVA,UND,6600000.0
004445,TRANSFORMADOR 1F 75 KVA,UND,8750000.0
004474,"TRANSFORMADOR 3F 112,5 KVA",UND,14695000.0
004281,TRANSFORMADOR 3F 15 KVA,UND,6054482.0
004446,TRANSFORMADOR 3F 30 KVA,UND,7850000.0
004448,TRANSFORMADOR 3F 45 KVA,UND,9350000.0
004472,TRANSFORMADOR 3F 75 KVA,UND,11832539.0
005439,DERECHOS CONEXION EPSA,UND,102607.0
004596,TRANSFORMADOR 3F 150 KVA,UND,19626051.0
005459,TRAFO 1F5KVA/13200 V,UND,2496073.0
004269,CONECTOR COMPRES,UND,3800.0
004469,FUSIBLE ALTA TENSION,UND,6000.0
004471,CORTACIRCUITO 15000 VOLT,UND,145200.0
004486,ALAMBRE CUBRE D.D. # 4,ML,16680.0
004109,"""TUBO GALV. ,1/2"""" X 3 MT",UND,32480.0
004470,PARARRAYO 10 KA POLIMERICO,UND,119000.0
005803,CONECTOR VARILLA COBRE,UND,6032.0
004265,SOPORTE CUBO PROTECCIONES,UND,12130.0
004277,"""TORN CARRUAJE 5/8X 1.1/2""",UND,1300.0
004278,"""TORN CARRUAJE 5/8X 3.3/4""",UND,2060.0
004465,CONECTOR TIPO CUNA,UND,18000.0
004517,"""BANDA 8"""" PARA TRANSFORMA",UND,24038.0
004532,CABLE ACSR NUMERO 2,ML,3400.0
004531,CABLE ACSR NUMERO 4,ML,2334.0
004533,CABLE ACSR NUMERO 1/0,ML,5170.0
004534,CABLE ACSR NUMERO 2/0,ML,6797.0
004535,CABLE ACSR NUMERO 4/0,ML,10430.0
004540,CABLE CUADRUPLEX ALUM #1/0,ML,45600.0
004541,CABLE CUADRUPLEX ALUM #2/0,ML,53000.0
004546,CABLE TRIPLEX AWG NUM 2,ML,22680.0
004547,CABLE TRIPLEX AWG NUM 1/0,ML,31000.0
004548,CABLE TRIPLEX AWG NUM 2/0,ML,35800.0
005942,CABLE TRIPLEX AWG NUM 4/0,ML,43000.0
004298,POSTE CONCRETO 9 X 300 KG,UND,544932.0
MQ0216,GRUA-MONTACARGA 3 TONELADAS,HRS,45000.0
004299,POSTE CONCRETO 9 X 510 KG,UND,574600.0
004300,POSTE CONCRETO 9X 510KG DI,UND,579600.0
004301,POSTE CONCRETO 11 X 300 KG,UND,809300.0
004302,POSTE CONCRETO 11 X 510 KG,UND,866000.0
004303,POSTE CONCRET 11x 510KG DI,UND,871000.0
004306,POSTE CONCRETO 12 X 300 KG,UND,868962.0
004550,POSTE CONCRETO 12 X 510 KG,UND,939900.0
004551,POSTE CONCRETO 12X510KG DI,UND,944900.0
