codigo,descripcion,unidad,total
04-05-14,CONT NIV HG 110-220V 13X6AMP ANG90 TB-TA,UND,130786.0
04-05-17,TABL CONTR DUPLEX 3600RPM 6.6HP-17.5AM,UND,1354486.0
04-05-18,TABL CONTR DUPLEX 3600RPM 7.5HP-21.8AM,UND,1353890.0
04-05-19,TABL CONTR DUPLEX 3600RPM 9 HP-24 AM,UND,1694054.0
04-05-20,TABL CONTR TRIPLEX 3600RPM 3.6HP-10.5AM,UND,1610070.0
04-05-21,TABL CONTR TRIPLEX 3600RPM 5 HP-16.0AM,UND,1799682.0
04-05-22,TABL CONTR TRIPLEX 3600RPM 6.6HP-17.5AM,UND,1922240.0
04-05-23,TABL CONTR TRIPLEX 3600RPM 12 HP-32.0AM,UND,2724027.0
04-05-24,TABL CONTR TRIPLEX 3600RPM 7.5HP-21.8AM,UND,1955966.0
04-05-25,TABL CONTR TRIPLEX 3600RPM 9 HP-24.0AM,UND,2161926.0
04-05-26,TABL CONTR DUPLEX 3600RPM 5 HP-16.0AM,UND,1662479.0
04-05-27,VALV COMP ELASTICA2 EB PVC,UND,369217.0
04-05-28,VALV COMP ELASTICA4 EL PVC,UND,597573.0
04-05-29,VALV COMP ELASTICA JR 12 EL PVC,UND,0.0
04-05-30,"VALV CHEQUE CORTINA BRONCE D= 2""",UND,265171.0
04-05-31,"VALV CHEQUE CORTINA BRONCE D= 3""",UND,124996.0
04-05-32,"VALV CHEQUE CORTINA BRONCE D= 1,1/2""",UND,88543.0
04-05-33,"VALV CHEQUE CORTINA HIERRO D= 3""",UND,511807.0
04-05-34,"VALV CHEQUE CORTINA HIERRO D= 4""",UND,782758.0
04-05-35,"VALV CHEQUE CORTINA HIERRO D= 6""",UND,1552813.0
04-05-36,"VALV CHEQUE GLOBO BRONCE D= 1,1/2""",UND,129813.0
04-05-37,"VALV CHEQUE GLOBO BRONCE D= 1,1/4""",UND,95771.0
04-05-38,"VALV CHEQUE GLOBO BRONCE D= 1""",UND,77853.0
04-05-39,"VALV CHEQUE GLOBO BRONCE D= 2""",UND,196571.0
04-05-40,"VALV CHEQUE GLOBO HIERRO D= 4""",UND,435041.0
04-05-41,"VALV CHEQUE GLOBO HIERRO D=10""",UND,2113338.0
04-05-42,"VALV CHEQUE GLOBO HIERRO D= 3""",UND,3326704.0
04-05-43,"VALV CHEQUE GLOBO HIERRO D= 6""",UND,1157253.0
04-05-44,"VALV CHEQUE GLOBO HIERRO D= 8""",UND,1515640.0
04-05-56,VALV COMP ELASTICA 4 EB PVC,UND,636395.0
04-05-57,VALV COMP ELASTICA12 EB,UND,3615755.0
04-05-58,VALV COMP ELASTICA JR 6 EL PVC,UND,1134026.0
04-05-59,"COMPUERTA BETA ELASTICA JR8"" EL-PVC""",UND,1288760.0
04-05-60,VALV COMP ELASTICA3 EB PVC,UND,490893.0
04-05-61,VALV COMP ELASTICA8 EB,UND,1630337.0
04-05-62,VALV COMP ELASTICA6 EB,UND,1122555.0
04-05-63,VALV COMP ELASTICA JR 3 EL PVC,UND,526364.0
04-05-64,VALV COMP ELASTICA JR 2 EL PVC,UND,369764.0
04-05-65,VALV COMP BRONCEASTM A-126 6 EB,UND,1292722.0
04-05-66,VALV RETENCIONASTM A-126 2 EB,UND,440853.0
04-05-67,VALV RETENCIONASTM A-126 3 EB,UND,506973.0
04-05-68,VALV DOB COMP S BRONCE ASTM A-126 10 EB,UND,5244956.0
04-05-69,VALV DOB COMPASTM A-126 4 EB,UND,1320391.0
04-05-70,VALV DOB COMPASTM A-126 3 EB,UND,852847.0
04-05-71,VALV DOB COMP S BRONCE ASTM A-126 8 EB,UND,3200493.0
04-05-72,"VALV FLOT HIDRO COMPLTA BOLA CU D=2""",UND,137115.0
04-05-75,"VALV FLOT HIERRO HIDRO D=3""",UND,899067.0
04-05-76,"VALV FLOT HIERRO HIDRO D=4""",UND,1389328.0
04-05-77,"VALV FLOT HIERRO HIDRO D=6""",UND,3162116.0
04-05-78,"VALV PIE CANAST BRONCE D=3""",UND,204407.0
04-05-79,"VALV PIE CANAST BRONCE D=4""",UND,408130.0
04-05-83,"VALV PIE CANAST BRONCE D=6""",UND,1074933.0
04-05-84,"VALV PIE HIERRO BRIDA D=3""",UND,0.0
04-05-85,VALV PIE HIERRO BRIDA D=6,UND,556133.0
04-05-86,"VALV PIE HIERRO-BRIDA D=8""",UND,614982.0
04-05-87,"VALV PIE TOTAL BRONCE D=2""",UND,180882.0
04-05-88,"VALV REGISTRO GLOBO BRONCE D=1,1/2""",UND,79191.0
04-05-89,"VALV REGISTRO GLOBO BRONCE D=1,1/4""",UND,73391.0
04-05-90,"VALV REGISTRO GLOBO BRONCE D=1""",UND,70605.0
04-05-91,"VALV REGISTRO GLOBO BRONCE D=2""",UND,158471.0
04-05-92,VALV RETENCION ASTM A-126 10 EB,UND,4189677.0
04-05-93,VALV RETENCION ASTM A-126 4 EB,UND,664878.0
04-05-94,VALV RETENCION ASTM A-126 6 EB,UND,1648382.0
04-05-95,VALV RETENCION ASTM A-126 8 EB,UND,2424502.0
04-05-96,VALV DOBLE COMP.SELLO BRONCE D=2,UND,453871.0
04-05-97,"VALV FLOT.HIDRO COMPLTA BOLA CU D=3""",UND,373006.0
04-05-98,"VALVULA CHEQUE CORTINA HIERRO D=2""",UND,187663.0
04-06-01,ANTRACITA B 10072 GRANULOMETRIA 1.5MM,M3,337999.0
04-06-02,"MEDIO FILTRANTE GRAVA <=1"" CU=0.95-1""",M3,31424.0
04-06-03,MEDIO RELLENO FILTRO PERCOLADOR POLIPROP,M3,500914.0
04-07-01,PRUEBA HIDRAULICA A TUB. PVC. 6-8,ML,2616.0
04-07-02,PRUEBA HIDRAULICA A TUB. PVC.2-4,ML,1914.0
04-07-71,"EMPATE TUBERIA EXISTENTE DIAM 2""-4""",UND,27606.0
04-07-74,DERECHOS DE CONEXION Y RECIBO ACUAVALLE,UND,110000.0
04-07-75,"SONDEO,LAVADO Y DESINFECCION TUBERIA",ML,1918.0
04-08-01,ADAP HEMBRA PF+UAD 1/2,UND,3570.0
04-08-02,ADAP MACHO PF+UAD 1/2,UND,3770.0
04-08-42,COLLAR DERIV PVC 2 X1/2,UND,15629.0
04-08-43,"COLLAR DERIV PVC 2,1/2X1/2",UND,16405.0
04-08-44,COLLAR DERIV PVC 3X1/2,UND,21904.0
04-08-45,COLLAR DERIV PVC 4X1/2,UND,25789.0
04-08-46,COLLAR DERIV PVC 6X1/2,UND,31726.0
04-08-53,REGISTRO DE CORTE BRONCE 1/2,UND,17616.0
04-08-54,REGISTRO DE INCORPORACION BRONCE 1/2,UND,15557.0
04-08-94,"DOMICILIARIA EN PF+UAD 6""*1/2""",UND,110471.0
04-08-95,"DOMICILIARIA EN PF+UAD 4""*1/2""",UND,130286.0
04-08-96,"DOMICILIARIA EN PF+UAD 3""*1/2""",UND,101919.0
04-08-97,"DOMICILIARIA EN PF+UAD 2""*1/2""",UND,95644.0
04-08-99,"DOMICILIARIA EN PF+UAD 3""X3/4""",UND,192512.0
04-14-03,MOTOBOMBA 2.0HP TIPO TURBINA,UND,716986.0
04-14-10,MOTOBOMBA 12.0HP TIPO TURBINA 480GPM,UND,3946423.0
04-14-11,BOMBA Q=350 H=127PSI-JOCKEY Q=22-30 150P,CJO,14278870.0
04-35-01,"TUBERIA PVC 2"" PERFORADA FILTRO""",ML,78416.0
04-81-01,"SUMIN VALVULA CHEQUE CORTINA BRONCE D=3""",UND,98325.0
04-81-02,"VALVULA CHEQUE 3"" FLANCHADA HF CORT BRON",UND,504600.0
05-01-02,CABLE DATOS UTP CAT 5E-4P,ML,3333.0
05-01-06,CABLE SONIDO2x18 ENCAUCHETADO,ML,2755.0
05-01-08,CABLE TELEFONICO 2P,ML,1940.0
05-01-09,CABLE TELEFONICO 4P,ML,2209.0
05-01-13,CABLE TELEVISION RG59,ML,2209.0
05-01-16,CABLE DUPLEX 2 X 22 THWN,ML,919.0
05-01-17,CABLE DATOS UTP CAT 6A,ML,3643.0
05-02-06,"ACOM.SONIDO ,1/2"" 2X18 ENCAUCHETADO",ML,9817.0
05-02-08,"ACOM.TELEFONICA ,1/2"" 2P""",ML,9272.0
05-02-09,"ACOM.TELEFONICA ,1/2"" 4P""",ML,9541.0
05-02-13,"ACOM.TELEVISION ,1/2"" RG59""",ML,9541.0
05-03-03,TOMA TELEFONICO,UND,14147.0
05-03-05,TOMA VOZ RJ45 + VIDEO COAXIAL,UND,175582.0
05-04-01,CONCENTRADOR 24 PUERTOS 10/100 MBPS,UND,1615880.0
05-04-02,CONCENTRADOR 16 PUERTOS 10/100 MBPS,UND,1152200.0
05-04-05,"ORGANIZADOR CABLES 19""",UND,86620.0
05-04-06,PATCH CORD5 PIES - 1.5 MTS,UND,9958.0
05-04-07,PATCH CORD 10 PIES - 3.0 MTS,UND,12962.0
05-04-08,PATCH PANEL48 PUERTOS,UND,1164361.0
05-04-13,PUNTO CABLE UTP CAT 5E VOZ-DATOS,UND,75768.0
05-04-14,PATCH PANEL 24 PUERTOS,UND,831350.0
05-04-15,GABINETE CON RACK 19,UND,483275.0
05-04-16,PATCH CORD 3 PIES,UND,9040.0
05-04-18,CANALETA PLASTICA C/DIV6X4X240CM,ML,24050.0
05-04-19,CANALETA METALICA C/DIV 10x4x240 CMS,UND,72207.0
05-04-20,TROQUEL PARA DATOS,UND,12509.0
05-04-24,"GABINETE CON RACK 19""X43"" ALT.CERRADO""",UND,807170.0
05-04-26,CANALETA PLASTICA 100X45X200 TA23/3P1,UND,72668.0
05-04-27,CODO 10X4.5 CM TA23/3P1,UND,24415.0
05-04-28,DERIVACION EN T 10X4.5 CM,UND,29512.0
05-04-29,CANALETA DE PISO 3CEP/13CA,UND,37124.0
05-04-30,DUCTO PORTACABLE METALICO 20X7.5X100CM,UND,74532.0
05-04-31,CODO PARA DUCTO METALICO 20 X 7.5 CM,UND,71224.0
05-04-32,"CORAZA PLASTICA HUVEL 1 1/2""",UND,35027.0
05-04-33,FACEPLATE RJ45-2 PUERTOS+VENT.IDENTIF,UND,27585.0
05-04-34,FACEPLATE RJ45-4 PUERTOS+VENT.IDENTIF,UND,31085.0
05-04-35,FACEPLATE RJ45-1 PUERTO+VENT.IDENTIF,UND,25585.0
05-04-36,PUNTO CABLE UTP CAT 6A VOZ-DATOS,PTO,86221.0
05-04-37,PATCH PANEL 24 PUERTOS CAT-6A,UND,173463.0
05-04-39,PATCH PANEL 48 PUERTOS CAT-6A AMP,UND,1671600.0
05-04-40,PATCH PANEL 24 PUERTOS CAT-6A AMP,UND,852800.0
05-04-41,REUBICACION PUNTO VOZ-DATOS,UND,70521.0
05-04-42,SALIDA GENERAL EMT UTP SIN APARATO,UND,69357.0
05-05-02,ANTENA DE AIRE,UND,148686.0
05-05-03,MASTIL ANTENA X 2 MTS,UND,134109.0
05-05-20,TOMA TELEVISION,UND,18741.0
05-06-08,PARLANTE-CIELO FALSO-TIPO MUSICAR,UND,122157.0
05-06-10,REGILLA CIRCULAR BLANCA TIPO MUSICAR,UND,43366.0
05-09-03,PULSADOR TIMBRE,UND,11410.0
05-09-04,SAL ALARMA COMUNITARIA (C/T),UND,22634.0
05-09-12,SIRENA DE 110 V,UND,57351.0
05-09-13,FUSIBLE PARA SIRENA,UND,7061.0
05-09-14,PANEL DE CONTROL BLOQUEO Y PANTALLA LCD,UND,612772.0
05-09-15,DISCADOR TELEFONICO PARA 8 NUMEROS,UND,299572.0
05-09-16,INTERRUPTOR CON CINTA FOTOLUMINICENTE,UND,11445.0
05-10-05,UPS IMPORTADA 2000 VA,UND,4837880.0
05-10-08,TABLERO MINIGRAMA 12 CTOS,UND,169583.0
05-10-09,MINIBREAKER 1 A 4 AMP RIEL LEGRAND,UND,47204.0
05-10-10,MINIBREAKER 5 A 32 AMP LEGRAND,UND,37633.0
05-10-11,TOMA NARANJA TIERRA AISLADA,UND,26751.0
05-10-12,SAL TOMA 1F (C/T/A/TO:REGULADO P&S),UND,90715.0
05-10-13,SAL TOMA 1F (C/T/A:3#12/TOMA REGULADO),UND,75034.0
05-10-14,MALLA A TIERRA 3 VARILLAS-PERNADA,UND,1190451.0
05-10-15,CABLE TRENZADO 3X12 HL-ZH AWG-REGULADA,ML,6715.0
05-10-16,CABLE TRENZADO 3X12 HLFR AWG-NORMAL,ML,6715.0
05-10-17,TOMA BLANCO NORMAL,UND,28534.0
05-10-18,UPS 10000 VA TRIFASICA,UND,13026700.0
05-12-01,CERTIFICACION PUNTO RED,PTO,7596.0
05-12-02,MARQUILLADO - ROTULADO,UND,3789.0
05-13-01,SWITCHE 48 PUERTO-4X1G-2960X-CISCO 3X3X3,UND,11822733.0
05-13-02,SWITCHE 10/100/16 PUERTOS NETGEAR,UND,458601.0
05-13-03,SWITCHE 10/100/24 PUERTOS TRENDNET,UND,2570456.0
05-13-04,SWITCHE 48 PUERTOS 10/100/1000 POE,UND,8516920.0
05-20-01,DESM.CAMARA VIDEO-PUNTO CCTV-ENERGIA,UND,35855.0
06-02-02,BAJANTE MONOFASICO EN 1/0,JGO,420130.0
06-02-04,BAJANTE MONOFASICO EN 2/0,JGO,545779.0
06-02-07,BAJANTE TRIFASICO EN 1/0,JGO,574837.0
06-02-08,BAJANTE TRIFASICO EN 2/0,JGO,736258.0
06-02-09,TRANSFORMADOR MONOFASICO 15KVA 13200,UND,3644323.0
06-02-10,TRANSFORMADOR MONOFASICO 25KVA 13200,UND,4946394.0
06-02-11,TRANSFORMADOR MONOFASICO 37.5 KVA 13200,UND,5607244.0
06-02-12,TRANSFORMADOR MONOFASICO 50KVA 13200,UND,6809323.0
06-02-13,TRANSFORMADOR MONOFASICO 75KVA 13200,UND,9019154.0
06-02-14,TRANSFORMADOR TRIFASICO 112 KVA 13200 V.,UND,14964154.0
06-02-15,TRANSFORMADOR TRIFASICO 15 KVA 13200 V.,UND,6263805.0
06-02-16,TRANSFORMADOR TRIFASICO 30 KVA 13200 V.,UND,8059323.0
06-02-17,TRANSFORMADOR TRIFASICO 45 KVA 13200 V.,UND,9559323.0
06-02-18,TRANSFORMADOR TRIFASICO 75 KVA 13200 V.,UND,12101693.0
06-02-24,TRANSFORMADOR MONOFASICO 10KVA 13200,UND,3125323.0
06-02-25,IMPUESTOS EPSA 2% INSPECCION TECNICA,UND,102607.0
06-02-30,TRANSFORMADOR TRIFASICO 150 KVA 13200 V.,UND,20631131.0
06-02-34,TRANSFORMADOR MONOFASICO 5KVA 13200,UND,2684332.0
06-02-35,FB-21 CORTACIRCUITOS SISTEMA MONOFASICO,JGO,464218.0
06-02-36,FB-31 CORTACIRCUITOS SISTEMA TRIFASICO,JGO,688870.0
06-02-37,PB-21 PARARRAYOS SISTEMA MONOFASICO,JGO,0.0
06-02-38,PB-31 PARARRAYOS SISTEMA TRIFASICO,JGO,1002592.0
