codigo_recurso,descripcion_recurso,unidad_recurso,cantidad_recurso,desper,vr_unitario,vr_parcial,codigo_analisis
003890,FORMALETA CAMARA INSPECCIO,UND,1.0,0.0,54213.0,54213.0,02-04-03
003999,HIERR.DE 60000 PSI 420 MPA,KLS,52.5,3.0,4287.0,231820.0,02-04-03
004600,HIERR.DE 37000 PSI 259 MPA,KLS,4.0,3.0,4000.0,16480.0,02-04-03
MOAG12,MANO OBRA ALBANILERIA 2 AYUDANTE-1 OFI,HC,10.0,0.0,32845.0,328450.0,02-04-03
003890,FORMALETA CAMARA INSPECCIO,UND,1.0,0.0,54213.0,54213.0,02-04-04
003999,HIERR.DE 60000 PSI 420 MPA,KLS,52.5,3.0,4287.0,231820.0,02-04-04
004600,HIERR.DE 37000 PSI 259 MPA,KLS,4.0,3.0,4000.0,16480.0,02-04-04
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,11.0,0.0,32845.0,361295.0,02-04-04
MOAG01,MANO OBRA ALBANILERIA1 AYUDANTE,HC,1.5,0.0,8949.0,13424.0,02-04-05
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,1.5,0.0,32845.0,49268.0,02-04-05
001046,"""CUARTON 2""""x4""""x300 OTOBO",UND,1.0,0.0,15500.0,15500.0,02-04-06
001401,"""HIERRO .3/8"""" 60.000 [6",KLS,54.0,0.0,1294.0,69876.0,02-04-06
001718,"""HIERRO .1/4"""" 37.000 [C",KG,4.0,3.0,4000.0,16480.0,02-04-06
002556,TABLA 1x10x300 OTOBO,UND,2.0,0.0,13007.0,26014.0,02-04-06
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,1.5,0.0,32845.0,49268.0,02-04-06
MQ0301,HERRAMIENTA MENOR,GLB,0.5,0.0,1600.0,800.0,02-04-06
001046,"""CUARTON 2""""x4""""x300 OTOBO",UND,3.0,0.0,15500.0,46500.0,02-04-07
001722,"""HIERRO .1/2"""" 60.000 [6",KG.,33.3,3.0,4000.0,137196.0,02-04-07
002322,PUNTILLA.1/2AC,LBS,1.0,0.0,3660.0,3660.0,02-04-07
002556,TABLA 1x10x300 OTOBO,UND,3.0,0.0,13007.0,39021.0,02-04-07
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,7.0,0.0,32845.0,229915.0,02-04-07
MQ0124,VIBRADOR,DIA,0.5,0.0,30146.0,15073.0,02-04-07
MQ0301,HERRAMIENTA MENOR,GLB,0.03,0.0,1600.0,48.0,02-04-07
001046,"""CUARTON 2""""x4""""x300 OTOBO",UND,2.0,0.0,15500.0,31000.0,02-04-08
002322,PUNTILLA.1/2AC,LBS,0.5,0.0,3660.0,1830.0,02-04-08
002556,TABLA 1x10x300 OTOBO,UND,2.0,0.0,13007.0,26014.0,02-04-08
003999,HIERR.DE 60000 PSI 420 MPA,KLS,18.5,0.0,4287.0,79310.0,02-04-08
MOAG12,MANO OBRA ALBANILERIA2 AYUDANTE-1 OFI,HC,6.0,0.0,32845.0,197070.0,02-04-08
MQ0124,VIBRADOR,DIA,0.5,0.0,30146.0,15073.0,02-04-08
MQ0301,HERRAMIENTA MENOR,GLB,0.03,0.0,1600.0,48.0,02-04-08
001046,"""CUARTON 2""""x4""""x300 OTOBO",UND,1.0,0.0,15500.0,15500.0,02-04-09
001365,GUADUA[TACO] 2.50-3M,UND,2.0,0.0,10500.0,21000.0,02-04-09
002556,TABLA 1x10x300 OTOBO,UND,2.1,0.0,13007.0,27315.0,02-04-09
MOAG12,MANO OBRA ALBANILERIA 2 AYUDANTE-1 OFI,HC,6.0,0.0,32845.0,197070.0,02-04-09
MQ0124,VIBRADOR,DIA,0.03,0.0,30146.0,904.0,02-04-09
MQ0301,HERRAMIENTA MENOR,GLB,0.3,0.0,1600.0,480.0,02-04-09
003890,FORMALETA CAMARA INSPECCIO,UND,0.2,0.0,54213.0,10843.0,02-04-10
003999,HIERR.DE 60000 PSI 420 MPA,KLS,45.0,0.0,4287.0,192915.0,02-04-10
MOAG01,MANO OBRA ALBANILERIA 1 AYUDANTE,HC,4.0,0.0,8949.0,35796.0,02-04-10
